City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
8,Hilo,US,77.79,19.7297,-155.09,Hilo Hawaiian Hotel
11,Puerto Ayacucho,VE,83.71,5.6639,-67.6236,Posada Turistica Manapiare
20,Faanui,PF,81.59,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
31,Oistins,BB,77.09,13.0667,-59.5333,Butterfly Beach Hotel
33,Hobart,AU,82.27,-42.8794,147.3294,Mantra on Collins Hobart
35,Kapaa,US,80.11,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Cockburn Town,TC,78.76,21.4612,-71.1419,Osprey Beach Hotel
39,Culebra,PR,78.84,18.303,-65.301,Palmetto Guesthouse
40,New Norfolk,AU,81.91,-42.7826,147.0587,The Shingles Riverside Cottages
49,Rikitea,PF,78.82,-23.1203,-134.9692,People ThankYou
51,Finschhafen,PG,81.63,-6.6024,147.8681,Cossam Guest House
58,Sao Jose Da Coroa Grande,BR,78.87,-8.8978,-35.1478,Crôa Mares Hotel
63,Quatre Cocos,MU,80.71,-20.2078,57.7625,Sunrise Attitude Hotel
67,Kroya,ID,78.49,-7.6331,109.2461,RUSTANTO Fam
68,Saint-Philippe,RE,76.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Hithadhoo,MV,81.88,-0.6,73.0833,Scoop Guest House
76,Denpasar,ID,82.06,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
79,Kavaratti,IN,80.29,10.5669,72.642,Hotels in Lakshadweep Islands
93,Mahebourg,MU,80.89,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,Luwuk,ID,84.99,-0.9516,122.7875,Hotel Santika Luwuk
99,Butaritari,KI,81.86,3.0707,172.7902,Isles Sunset Lodge
103,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
106,Touros,BR,81.5,-5.1989,-35.4608,INN NEW HORIZON
110,Buala,SB,79.95,-8.145,159.5921,Maringe Lagoon Lodge
124,Arraial Do Cabo,BR,75.79,-22.9661,-42.0278,Pousada Porto Praia
130,Kavieng,PG,82.58,-2.5744,150.7967,Nusa Island Retreat
133,Bubaque,GW,78.44,11.2833,-15.8333,"Casa Dora, Bubaque"
137,Eldorado,BR,81.09,-23.7869,-54.2836,Villa Verde Hotel
142,Lorengau,PG,82.9,-2.0226,147.2712,Lorengau Harbourside Hotel
144,Georgetown,MY,82.33,5.4112,100.3354,Cititel Penang
153,Katobu,ID,77.18,-4.9408,122.5276,La Ode Husein
154,Marihatag,PH,81.99,8.7936,126.2969,Mariner's Place & Resort
155,Mahibadhoo,MV,80.56,3.7833,72.9667,Omadhoo Inn
159,Sao Joao Da Barra,BR,75.76,-21.6403,-41.0511,Pousada Porto De Canoas
160,Pitimbu,BR,79.39,-7.4706,-34.8086,Reserva do Abiaí
170,Atuona,PF,78.89,-9.8,-139.0333,Villa Enata
177,Wahiawa,US,79.12,21.5028,-158.0236,Aloha Wahiawa
180,Katherine,AU,89.92,-14.4667,132.2667,Pine Tree Motel
187,Acapulco,MX,76.95,16.8634,-99.8901,HS Hotsson Smart Acapulco
190,Bongaree,AU,83.28,-27.0797,153.1586,The Gums Anchorage
199,Vaini,TO,81.81,-21.2,-175.2,Keleti Beach Resort
204,Souillac,MU,80.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
206,Iracoubo,GF,76.89,5.4802,-53.2011,Le Gîte d’Iracoubo
213,Sampit,ID,77.61,-2.5333,112.95,Aquarius Boutique Hotel Sampit
239,Casino,AU,76.75,-28.8667,153.05,Squatters Homestead Motel
240,Fare,PF,81.25,-16.7,-151.0167,Maitai Lapita Village Huahine
241,Biak,ID,82.33,-0.9131,122.8766,Penginapan Kim
247,Bengkulu,ID,76.44,-3.8004,102.2655,Grage Hotel Bengkulu
248,Namatanai,PG,83.34,-3.6667,152.4333,Seagulls Inn Namatani
252,Cap Malheureux,MU,81.09,-19.9842,57.6142,Pereybere Hotel & Spa
255,Labuhan,ID,77.13,-6.8844,112.2051,DoubleFAG
286,Yeppoon,AU,82.18,-23.1333,150.7333,Villa Mar Colina
287,Port-Gentil,GA,79.41,-0.7193,8.7815,Fengshui Residence
293,Makakilo City,US,80.92,21.3469,-158.0858,Marriott's Ko Olina Beach Club
297,Kudahuvadhoo,MV,80.62,2.6708,72.8944,Niyama Private Islands Maldives
307,Nelson Bay,AU,77.95,-32.7167,152.15,Mantra Nelson Bay
321,Labuan,MY,79.16,5.2767,115.2417,Tiara Labuan Hotel
322,Mahajanga,MG,75.22,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
331,Mandera,KE,79.23,3.9366,41.867,Mwalimu Guest mandera
336,Bambous Virieux,MU,80.85,-20.3428,57.7575,Casa Tia Villa
346,Mumford,GH,78.75,5.2618,-0.759,Spanish Villa
349,Wangaratta,AU,81.46,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
352,Butia,BR,75.97,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
353,Kendari,ID,83.7,-3.945,122.4989,Hotel Wixel
354,Kieta,PG,80.1,-6.2167,155.6333,Uruna Bay Retreat
367,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
372,Meulaboh,ID,79.21,4.1363,96.1285,Kost Pria
373,Alice Springs,AU,89.15,-23.7,133.8833,Desert Palms Alice Springs
374,Taua,BR,75.54,-5.9667,-40.3,Love Star Motel
380,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
381,Port Blair,IN,75.24,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
388,Bucerias,MX,75.97,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
389,Cidreira,BR,76.93,-30.1811,-50.2056,Hotel Castelo
399,Codrington,AU,88.3,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
400,Harper,LR,77.41,4.375,-7.7169,Screensaver
404,Sinnamary,GF,76.8,5.3833,-52.95,ALETHEIA Appartement Sinnamary
405,Swan Hill,AU,84.85,-35.3378,143.5544,Lazy River Motor Inn
407,Progreso,MX,76.1,21.2833,-89.6667,Playa Linda Hotel
409,Iralaya,HN,77.25,15.0,-83.2333,Iglesia morava renovada
425,Sarangani,PH,81.27,5.4033,125.4636,Ballistic Islet
434,Poum,NC,81.77,-20.2333,164.0167,Gîte kajeon
435,Alofi,NU,85.89,-19.0595,-169.9187,Taloa Heights
440,Nabire,ID,86.2,-3.3667,135.4833,Hotel Nusantara Nabire
442,Maceio,BR,78.24,-9.6658,-35.7353,Poutur Pousada
445,Altamira,BR,75.31,-3.2033,-52.2064,Requinte Hotel
448,Lazaro Cardenas,MX,76.26,17.9583,-102.2,quinta antigua
449,Padang,ID,80.65,-0.9492,100.3543,Mercure Padang
452,Pekan,MY,78.91,3.4836,103.3996,Pekan Budget Hotel
463,Samarai,PG,84.96,-10.6167,150.6667,Nuli Sapi
467,Yulara,AU,82.24,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
475,Vila Velha,BR,80.55,-20.3297,-40.2925,Quality Suites Vila Velha
477,Orocue,CO,82.67,4.7912,-71.3354,Hotel Brisas de San Miguel
480,Mancora,PE,77.13,-4.1078,-81.0475,Máncora Marina Hotel
485,Cayenne,GF,77.04,4.9333,-52.3333,Hôtel Le Dronmi
487,Moron,AR,80.02,-34.6534,-58.6198,Hotel Morón
488,Mitsamiouli,KM,79.84,-11.3847,43.2844,Foyer ADM
489,Kununurra,AU,89.58,-15.7667,128.7333,Hotel Kununurra
493,Maningrida,AU,87.76,-12.0667,134.2667,Dhukurrdji Lodge
494,Tutoia,BR,82.38,-2.7619,-42.2744,Pousada Guará's
499,Limpapa,PH,81.73,7.1197,121.9106,The Ranch ZC
516,Sola,VU,83.97,-13.8833,167.55,Leumerus Bungalows
517,Tevaitoa,PF,81.19,-16.7833,-151.5,Hôtel Raiatea Lodge
521,San Andres,CO,82.42,12.5847,-81.7006,Hotel Arena Blanca
522,Hervey Bay,AU,79.03,-25.2986,152.8535,Shelly Bay Resort
527,Palmares Do Sul,BR,77.34,-30.2578,-50.5097,Restaurante e Pensão Lopes
535,Isangel,VU,84.31,-19.55,169.2667,Tanna Lodge
545,Caravelas,BR,75.15,-17.7125,-39.2481,Pousada dos Navegantes
548,Lumut,MY,79.16,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
